2.64, -12, 0.000269636, 64,
2.65, -12, 0.000255775, 64,
2.66, -12, 0.00024262, 64,
2.67, -12, 0.000230137, 64,
2.68, -12, 0.000218292, 64,
2.69, -12, 0.000207052, 64,
2.7, -12, 0.000196387, 64,
2.71, -12, 0.000186267, 64,
2.72, -12, 0.000176664, 64,
2.73, -12, 0.000167553, 64,
2.74, -12, 0.000158909, 64,
2.75, -12, 0.000150707, 64,
2.76, -12, 0.000142926, 64,
2.77, -12, 0.000135544, 64,
2.78, -12, 0.00012854, 64,
2.79, -12, 0.000121896, 64,
2.8, -12, 0.000115593, 64,
2.81, -12, 0.000109613, 64,
2.82, -12, 0.000103941, 64,
2.83, -12, 9.856e-05, 64,
2.84, -12, 9.34559e-05, 64,
2.85, -12, 8.86143e-05, 64,
2.86, -12, 8.40218e-05, 64,
2.87, -12, 7.96657e-05, 64,
2.88, -12, 7.5534e-05, 64,
2.89, -12, 7.16151e-05, 64,
2.9, -12, 6.78982e-05, 64,
2.91, -12, 6.43729e-05, 64,
2.92, -12, 6.10295e-05, 64,
2.93, -12, 5.78586e-05, 64,
2.94, -12, 5.48514e-05, 64,
2.95, -12, 5.19995e-05, 64,
2.96, -12, 4.92949e-05, 64,
2.97, -12, 4.67301e-05, 64,
2.98, -12, 4.42978e-05, 64,
2.99, -12, 4.19914e-05, 64,
